"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific"
39401,0,3,0,0,4,1,100,100,100,0.934782608695652,0.934782608695652,0.0652173913043478,0.173913043478261,0
39402,1,3,0,0,4,2,100,85.7142857142857,100,1,0.973684210526316,0.105263157894737,0.236842105263158,0.0789473684210526
39403,1,3,0,1,4,1,100,85.7142857142857,100,0.634146341463415,0.609756097560976,0.0975609756097561,0.195121951219512,0.146341463414634
39404,0,3,0,0,4,2,100,100,100,0.644444444444444,0.644444444444444,0.0444444444444444,0.2,0.133333333333333
39405,0,3,0,1,4,3,100,100,100,0.730769230769231,0.730769230769231,0,0.346153846153846,0.115384615384615
39406,1,3,0,1,4,1,100,100,100,0.891304347826087,0.869565217391304,0.0652173913043478,0.173913043478261,0.0434782608695652
39407,0,3,0,1,4,1,100,100,100,1.25581395348837,1.25581395348837,0.116279069767442,0.186046511627907,0.0697674418604651
39408,7,3,0,0,4,1,100,100,100,1.06666666666667,0.911111111111111,0.0888888888888889,0.2,0.0222222222222222
39409,7,3,0,0,4,0,33.3333333333333,100,100,0.804347826086957,0.652173913043478,0.173913043478261,0.217391304347826,0
39410,0,3,0,1,4,2,66.6666666666667,66.6666666666667,100,0.833333333333333,0.833333333333333,0.1,0.15,0.0333333333333333
39411,0,3,0,1,4,1,100,100,100,0.888888888888889,0.888888888888889,0.0555555555555556,0.185185185185185,0.037037037037037
39412,2,2,0,2,4,0,100,100,100,0.578947368421053,0.473684210526316,0,0.578947368421053,0.0526315789473684
39413,1,3,0,1,4,0,100,80,100,0.4,0.2,0.2,2.6,0.8
39414,2,2,0,1,4,2,100,100,100,0.612903225806452,0.548387096774194,0.0645161290322581,0.354838709677419,0.032258064516129
39415,0,3,0,1,4,0,100,100,100,0.675,0.675,0.1,0.3,0.025
39416,0,3,0,1,4,0,100,100,100,0.363636363636364,0.363636363636364,0.545454545454545,0.727272727272727,0.181818181818182
39417,0,3,0,1,4,0,100,100,100,0.872727272727273,0.872727272727273,0.0727272727272727,0.127272727272727,0.109090909090909
39418,4,3,0,2,4,0,81.9044873063313,91.0130610644602,82.8406469895976,1.08196721311475,1.01639344262295,0.0491803278688525,0.19672131147541,0.0491803278688525
39419,6,3,0,1,0,2,100,100,100,0.523809523809524,0.380952380952381,0.0238095238095238,0.142857142857143,0.0238095238095238
39420,12,3,0,1,4,1,100,100,100,0.877551020408163,0.63265306122449,0.102040816326531,0.224489795918367,0.0408163265306122
39421,4,3,0,1,0,1,50,100,100,0.179487179487179,0.0769230769230769,0.0256410256410256,0.230769230769231,0
39422,5,3,0,1,4,1,75,100,100,1.2,1.08888888888889,0.466666666666667,0.2,0.0888888888888889
39423,2,3,0,2,4,3,85.7142857142857,100,100,0.803921568627451,0.764705882352941,0.333333333333333,0.176470588235294,0.117647058823529
39424,3,3,0,2,4,0,87.5,75,100,0.714285714285714,0.660714285714286,0.0357142857142857,0.160714285714286,0.0357142857142857
39425,0,3,0,2,4,1,100,50,100,0.666666666666667,0.666666666666667,0.0833333333333333,0.75,0.0833333333333333
39426,1,3,0,1,4,1,100,100,100,0.5,0.428571428571429,0.142857142857143,1,0.357142857142857
