"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
39401,0,3,0,0,4,1,100,100,100,0.934782608695652,0.934782608695652,0.0652173913043478,0.173913043478261,0,1
39402,1,3,0,0,4,2,100,85.7142857142857,100,1,0.973684210526316,0.105263157894737,0.236842105263158,0.0789473684210526,1
39403,1,3,0,1,4,1,100,85.7142857142857,100,0.634146341463415,0.609756097560976,0.0975609756097561,0.195121951219512,0.146341463414634,1
39404,0,3,0,0,4,2,100,100,100,0.644444444444444,0.644444444444444,0.0444444444444444,0.2,0.133333333333333,1
39405,0,3,0,1,4,3,100,100,100,0.730769230769231,0.730769230769231,0,0.346153846153846,0.115384615384615,1
39406,1,3,0,1,4,1,100,100,100,0.891304347826087,0.869565217391304,0.0652173913043478,0.173913043478261,0.0434782608695652,1
39407,0,3,0,1,4,1,100,100,100,1.25581395348837,1.25581395348837,0.116279069767442,0.186046511627907,0.0697674418604651,1
39408,7,3,0,0,4,1,100,100,100,1.06666666666667,0.911111111111111,0.0888888888888889,0.2,0.0222222222222222,1
39409,7,3,0,0,4,0,33.3333333333333,100,100,0.804347826086957,0.652173913043478,0.173913043478261,0.217391304347826,0,1
39410,0,3,0,1,4,2,66.6666666666667,66.6666666666667,100,0.833333333333333,0.833333333333333,0.1,0.15,0.0333333333333333,1
39411,0,3,0,1,4,1,100,100,100,0.888888888888889,0.888888888888889,0.0555555555555556,0.185185185185185,0.037037037037037,1
39412,2,2,0,2,4,0,100,100,100,0.578947368421053,0.473684210526316,0,0.578947368421053,0.0526315789473684,1
