"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
40319,2,3,0,1,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.794871794871795,0.743589743589744,1.30769230769231,0.307692307692308,0.0769230769230769,2
40320,0,3,0,1,0,1,81.9044873063313,91.0130610644602,82.8406469895976,0.758620689655172,0.758620689655172,1.72413793103448,0.344827586206897,0.0689655172413793,2
40321,0,3,0,2,3,0,81.9044873063313,91.0130610644602,82.8406469895976,0.753246753246753,0.753246753246753,0.831168831168831,0.194805194805195,0.0779220779220779,1
40322,0,3,0,1,0,0,100,100,100,0.766666666666667,0.766666666666667,1.76666666666667,0.366666666666667,0.0666666666666667,2
40323,0,3,0,0,0,0,100,100,100,0.931034482758621,0.931034482758621,1.96551724137931,0.379310344827586,0.0689655172413793,2
40324,0,3,0,0,4,0,100,100,100,0.814814814814815,0.814814814814815,1.96296296296296,0.37037037037037,0.0740740740740741,1
40325,0,3,0,0,4,0,100,100,50,0.702702702702703,0.702702702702703,1.02702702702703,0.216216216216216,0.0540540540540541,1
40326,4,3,0,1,4,1,50,100,50,0.840909090909091,0.75,1.15909090909091,0.227272727272727,0.0909090909090909,1
40327,0,3,0,1,3,0,50,66.6666666666667,50,0.707317073170732,0.707317073170732,1.36585365853659,0.195121951219512,0.0487804878048781,1
40328,0,3,0,1,3,1,66.6666666666667,66.6666666666667,100,0.736842105263158,0.736842105263158,1.65789473684211,0.236842105263158,0,1
40329,0,3,0,2,3,1,100,100,100,0.9,0.9,1.76666666666667,0.266666666666667,0.0333333333333333,1
40330,0,3,0,2,3,0,100,100,100,0.90625,0.90625,1.65625,0.21875,0.0625,1
40331,0,3,0,2,3,1,100,100,80,0.958333333333333,0.958333333333333,2.41666666666667,0.291666666666667,0.0416666666666667,1
40332,1,3,0,1,3,1,100,100,80,0.8,0.775,1.45,0.225,0,1
40333,9,3,0,2,4,0,100,66.6666666666667,100,0.90625,0.625,1.6875,0.4375,0.09375,1
40334,12,3,0,2,4,0,100,50,100,0.8125,0.4375,1.09375,0.28125,0.125,1
40335,10,3,0,2,4,0,100,50,100,0.848484848484849,0.545454545454545,1.12121212121212,0.272727272727273,0.0909090909090909,1
40336,10,2,0,1,4,1,81.9044873063313,91.0130610644602,82.8406469895976,0.794117647058823,0.5,1.26470588235294,0.382352941176471,0.117647058823529,1
40337,1,2,1,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.86046511627907,0.837209302325581,1.6046511627907,0.255813953488372,0.0930232558139535,2
40338,9,2,1,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.886363636363636,0.681818181818182,1.75,0.181818181818182,0.0681818181818182,2
40339,6,2,1,2,3,0,81.9044873063313,91.0130610644602,82.8406469895976,0.470588235294118,0.382352941176471,0.838235294117647,0.176470588235294,0.0147058823529412,3
40340,1,3,1,3,3,1,75,100,100,0.25,0.233333333333333,0.266666666666667,0.133333333333333,0.0833333333333333,3
40341,31,3,0,2,4,0,81.9044873063313,91.0130610644602,82.8406469895976,0.326315789473684,0,0.442105263157895,0.2,0.0421052631578947,1
40342,19,3,0,2,4,1,100,100,100,0.116564417177914,0,0.45398773006135,0.220858895705521,0.0552147239263804,1
40343,11,3,0,2,0,3,100,100,100,0.244897959183673,0.0204081632653061,0.551020408163265,0.224489795918367,0.0612244897959184,2
