"Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific"
0,3,0,0,4,1,100,100,100,0.934782608695652,0.934782608695652,0.0652173913043478,0.173913043478261,0
1,3,0,0,4,2,100,85.7142857142857,100,1,0.973684210526316,0.105263157894737,0.236842105263158,0.0789473684210526
1,3,0,1,4,1,100,85.7142857142857,100,0.634146341463415,0.609756097560976,0.0975609756097561,0.195121951219512,0.146341463414634
0,3,0,0,4,2,100,100,100,0.644444444444444,0.644444444444444,0.0444444444444444,0.2,0.133333333333333
0,3,0,1,4,3,100,100,100,0.730769230769231,0.730769230769231,0,0.346153846153846,0.115384615384615
1,3,0,1,4,1,100,100,100,0.891304347826087,0.869565217391304,0.0652173913043478,0.173913043478261,0.0434782608695652
0,3,0,1,4,1,100,100,100,1.25581395348837,1.25581395348837,0.116279069767442,0.186046511627907,0.0697674418604651
7,3,0,0,4,1,100,100,100,1.06666666666667,0.911111111111111,0.0888888888888889,0.2,0.0222222222222222
7,3,0,0,4,0,33.3333333333333,100,100,0.804347826086957,0.652173913043478,0.173913043478261,0.217391304347826,0
0,3,0,1,4,2,66.6666666666667,66.6666666666667,100,0.833333333333333,0.833333333333333,0.1,0.15,0.0333333333333333
0,3,0,1,4,1,100,100,100,0.888888888888889,0.888888888888889,0.0555555555555556,0.185185185185185,0.037037037037037
2,2,0,2,4,0,100,100,100,0.578947368421053,0.473684210526316,0,0.578947368421053,0.0526315789473684
1,3,0,1,4,0,100,80,100,0.4,0.2,0.2,2.6,0.8
2,2,0,1,4,2,100,100,100,0.612903225806452,0.548387096774194,0.0645161290322581,0.354838709677419,0.032258064516129
0,3,0,1,4,0,100,100,100,0.675,0.675,0.1,0.3,0.025
0,3,0,1,4,0,100,100,100,0.363636363636364,0.363636363636364,0.545454545454545,0.727272727272727,0.181818181818182
0,3,0,1,4,0,100,100,100,0.872727272727273,0.872727272727273,0.0727272727272727,0.127272727272727,0.109090909090909
4,3,0,2,4,0,81.9044873063313,91.0130610644602,82.8406469895976,1.08196721311475,1.01639344262295,0.0491803278688525,0.19672131147541,0.0491803278688525
6,3,0,1,0,2,100,100,100,0.523809523809524,0.380952380952381,0.0238095238095238,0.142857142857143,0.0238095238095238
12,3,0,1,4,1,100,100,100,0.877551020408163,0.63265306122449,0.102040816326531,0.224489795918367,0.0408163265306122
4,3,0,1,0,1,50,100,100,0.179487179487179,0.0769230769230769,0.0256410256410256,0.230769230769231,0
5,3,0,1,4,1,75,100,100,1.2,1.08888888888889,0.466666666666667,0.2,0.0888888888888889
2,3,0,2,4,3,85.7142857142857,100,100,0.803921568627451,0.764705882352941,0.333333333333333,0.176470588235294,0.117647058823529
3,3,0,2,4,0,87.5,75,100,0.714285714285714,0.660714285714286,0.0357142857142857,0.160714285714286,0.0357142857142857
0,3,0,2,4,1,100,50,100,0.666666666666667,0.666666666666667,0.0833333333333333,0.75,0.0833333333333333
1,3,0,1,4,1,100,100,100,0.5,0.428571428571429,0.142857142857143,1,0.357142857142857
0,3,0,1,4,0,100,100,100,1.05263157894737,1.05263157894737,0.105263157894737,0.210526315789474,0.157894736842105
2,3,0,0,4,1,100,100,100,1,0.945945945945946,0.189189189189189,0.216216216216216,0.0810810810810811
3,3,0,0,4,1,100,75,100,0.745098039215686,0.686274509803922,0.137254901960784,0.156862745098039,0.176470588235294
4,3,0,2,0,0,100,100,100,1.75,0.75,0,1.25,0.25
3,3,0,2,4,2,60,100,100,0.390243902439024,0.317073170731707,0.0731707317073171,0.170731707317073,0.24390243902439
1,3,0,1,4,1,75,100,100,0.573770491803279,0.557377049180328,0.0327868852459016,0.0983606557377049,0.0491803278688525
1,3,0,1,4,0,88.8888888888889,100,100,1.24489795918367,1.22448979591837,0.244897959183673,0.163265306122449,0.0408163265306122
2,3,0,1,5,0,88.8888888888889,100,100,1.11764705882353,1.05882352941176,0.382352941176471,0.235294117647059,0.0588235294117647
0,3,0,1,5,1,100,80,100,0.672727272727273,0.672727272727273,0.0363636363636364,0.145454545454545,0.109090909090909
0,3,0,1,4,1,100,66.6666666666667,100,0.538461538461538,0.538461538461538,0.0769230769230769,0.769230769230769,0.384615384615385
0,3,0,2,4,0,100,100,100,0.25,0.25,0,3.5,0.5
0,3,0,2,5,2,100,100,100,0.111111111111111,0.111111111111111,0,1.22222222222222,0.222222222222222
2,3,0,1,5,0,100,100,100,0.964285714285714,0.892857142857143,0.0357142857142857,0.321428571428571,0.107142857142857
30,3,0,2,5,0,100,87.5,100,1.77777777777778,0.111111111111111,0.277777777777778,0.444444444444444,0.166666666666667
2,3,0,2,5,1,80,100,80,1.4,1,0.2,1.6,0.8
3,1,1,2,5,4,84.6153846153846,100,84.6153846153846,0.46875,0.421875,0.078125,0.65625,0.046875
2,3,0,2,5,2,66.6666666666667,83.3333333333333,66.6666666666667,0.790697674418605,0.744186046511628,0.255813953488372,0.232558139534884,0.116279069767442
0,3,0,2,4,0,81.9044873063313,91.0130610644602,82.8406469895976,1.33333333333333,1.33333333333333,0,1,0
0,3,0,1,4,0,100,100,100,0.777777777777778,0.777777777777778,0.222222222222222,0.555555555555556,0.388888888888889
3,3,0,1,4,0,100,100,100,1.31818181818182,1.18181818181818,0.454545454545455,2.27272727272727,0.5
1,3,0,2,4,0,100,100,100,1.02777777777778,1,0.138888888888889,0.25,0.138888888888889
0,3,0,1,4,1,100,100,100,0.925,0.925,0.2,0.275,0.075
6,3,0,0,4,0,100,88.8888888888889,100,1.39393939393939,1.21212121212121,0.272727272727273,0.333333333333333,0.303030303030303
0,3,0,0,4,0,87.5,87.5,100,0.5,0.5,1.25,2,2.75
0,3,0,0,4,1,85.7142857142857,100,100,1.28,1.28,0.24,0.32,0.08
3,3,0,1,4,0,100,100,100,0.666666666666667,0.166666666666667,0.333333333333333,12.1666666666667,1
1,3,0,1,4,0,100,100,100,0.787234042553192,0.765957446808511,0,0.297872340425532,0.25531914893617
3,3,0,1,4,0,100,100,100,0.5,0.425,0.025,0.425,0.275
0,3,0,1,4,0,100,100,100,4,4,1,9,2
2,3,0,1,4,2,83.3333333333333,100,100,2.26315789473684,2.15789473684211,0.105263157894737,0.631578947368421,0.736842105263158
2,3,0,1,4,0,91.6666666666667,83.3333333333333,100,1.19512195121951,1.14634146341463,0.439024390243902,0.317073170731707,0.317073170731707
1,3,0,0,4,2,93.3333333333333,80,100,0.857142857142857,0.828571428571429,0.4,0.285714285714286,0.2
0,3,0,0,4,0,93.3333333333333,93.3333333333333,100,2,2,0,18,8
