"ID_MGN","Movilidad_RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
46258,0,3,0,3,4,1,1,100,100,100,0.458715596330275,0,0.779816513761468,0.247706422018349,0,1
46259,0,3,0,3,4,1,2,57.1428571428571,100,100,0.347701149425287,0,0.620689655172414,0.204022988505747,0.0114942528735632,1
46260,0,3,0,3,4,1,1,60,100,100,0.0158730158730159,0,1.15873015873016,0.53968253968254,0,1
46261,0,3,0,3,3,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.260162601626016,0,0.666666666666667,0.16260162601626,0,1
46262,1,3,1,3,4,1,8,92.8571428571429,85.7142857142857,100,0.224489795918367,0,0.512925170068027,0.213605442176871,0.00272108843537415,2
46263,0,3,0,3,4,1,0,100,100,100,0.239130434782609,0,0.625,0.228260869565217,0,1
46264,0,1,1,3,4,1,1,100,100,100,1.71232876712329,0,0.602739726027397,0.301369863013699,0,2
46265,0,3,0,3,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.0232558139534884,0,0.767441860465116,0.348837209302326,0,1
46266,0,3,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.716666666666667,0,0.7,0.316666666666667,0,1
46267,0,3,1,3,4,1,1,25,75,75,0.333333333333333,0,0.41025641025641,0.393162393162393,0.0769230769230769,2
46271,0,3,1,3,4,1,0,50,100,100,0.0704225352112676,0,0.27112676056338,0.0809859154929577,0,2
46272,0,3,0,3,4,1,0,60,100,100,0.323076923076923,0,0.492307692307692,0.276923076923077,0,1
46273,0,3,0,3,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.45,0,0.9,0.266666666666667,0,1
46274,0,3,0,3,0,1,2,95.2578097608821,91.2189208163899,98.3623185325594,0.484375,0,0.65625,0.1953125,0,1
46275,0,1,0,3,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.571428571428571,0,0.75,0.321428571428571,0,1
46276,0,1,0,3,0,1,1,100,100,100,0.46,0,1.48,0.56,0,1
46277,5,3,0,3,4,1,2,80,100,90,0.279411764705882,0,0.352941176470588,0.808823529411765,0.25,1
46281,0,3,1,3,4,1,2,100,100,100,0.105610561056106,0,0.232673267326733,0.0891089108910891,0,2
46282,0,3,0,2,0,1,1,100,100,100,0.545454545454545,0,1.39393939393939,0.212121212121212,0,1
46283,0,3,0,2,0,1,2,95.2578097608821,91.2189208163899,98.3623185325594,0.473684210526316,0,1.18421052631579,0.184210526315789,0,1
46284,0,3,0,1,4,1,1,95.2578097608821,91.2189208163899,98.3623185325594,0.548387096774194,0,1.58064516129032,0.258064516129032,0,1
46285,0,3,0,3,4,1,0,100,100,100,0.0136986301369863,0,0.602739726027397,0.10958904109589,0,1
46286,0,2,0,3,0,0,0,95.2578097608821,91.2189208163899,98.3623185325594,0.025,0,0.15,0.05,0,1
46287,0,2,0,3,4,1,0,50,100,100,0.106194690265487,0,0.557522123893805,0.106194690265487,0,1
46288,0,0,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.2,0,0.725,0.15,0,1
46289,0,0,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.35,0,0.8,0.2,0,1
46290,1,3,0,3,4,1,4,100,83.3333333333333,100,0.485915492957746,0,0.704225352112676,0.253521126760563,0.028169014084507,1
46291,0,3,0,2,3,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.392857142857143,0,1.55357142857143,0.375,0,1
46293,2,3,1,3,4,1,7,46.1538461538462,61.5384615384615,100,0.258760107816712,0,0.425876010781671,0.264150943396226,0.0269541778975741,2
46294,2,3,1,3,4,1,3,41.6666666666667,75,100,0.010183299389002,0,0.00610997963340122,0.142566191446029,0.0325865580448065,2
46295,5,3,1,3,4,1,2,88.8888888888889,94.4444444444444,100,0.0947368421052632,0,0.273684210526316,0.392982456140351,0.147368421052632,2
46296,0,3,0,2,4,1,1,100,100,83.3333333333333,0.40506329113924,0,1.05063291139241,0.177215189873418,0.0506329113924051,1
46297,0,2,0,3,0,0,0,95.2578097608821,91.2189208163899,98.3623185325594,0.714285714285714,0,1.14285714285714,1.14285714285714,0.142857142857143,1
46298,1,3,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,13.5555555555556,0.111111111111111,2.11111111111111,2.88888888888889,0.222222222222222,1
46303,1,3,1,3,4,1,3,76.9230769230769,100,92.3076923076923,0.334702258726899,0.0780287474332649,0.529774127310062,0.252566735112936,0.0369609856262834,2
46304,0,3,0,3,4,1,2,95.2578097608821,91.2189208163899,98.3623185325594,0.551020408163265,0.408163265306122,0.76530612244898,0.204081632653061,0.0408163265306122,1
46305,1,3,0,2,4,1,0,100,100,100,0.230769230769231,0.0769230769230769,3.30769230769231,1.46153846153846,0.230769230769231,1
46306,0,3,0,3,4,1,1,100,33.3333333333333,100,0.194444444444444,0.0277777777777778,0.996031746031746,0.123015873015873,0.0277777777777778,1
46308,0,3,0,2,4,1,1,100,100,100,0.508474576271186,0.508474576271186,1.44067796610169,0.26271186440678,0.0338983050847458,1
46309,0,3,0,2,4,1,0,100,100,100,0.648148148148148,0.648148148148148,1.01851851851852,0.166666666666667,0.0555555555555556,1
46310,0,3,0,2,4,1,1,100,66.6666666666667,100,0.873015873015873,0.873015873015873,1.66666666666667,0.142857142857143,0.0476190476190476,1
46311,0,3,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.875,0.875,2.1875,0.3125,0.0625,1
46312,0,3,0,2,3,1,0,100,100,100,1.17857142857143,1.00892857142857,0.446428571428571,0.0803571428571429,0.0178571428571429,1
46314,0,2,1,3,3,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.0465116279069767,0,0.790697674418605,0.209302325581395,0.0465116279069767,2
46315,0,3,0,0,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,1.53333333333333,1.53333333333333,1.06666666666667,0.2,0.0666666666666667,1
46316,0,3,0,0,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.545454545454545,0.545454545454545,0.772727272727273,0.272727272727273,0.0454545454545455,1
46317,0,3,0,0,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.875,0.875,1.8125,0.4375,0.0625,1
46318,0,3,0,0,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.631578947368421,0.631578947368421,1.36842105263158,0.368421052631579,0,1
46319,0,3,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.785714285714286,0.785714285714286,3.64285714285714,0.714285714285714,0.0714285714285714,1
46320,0,3,0,2,4,1,1,100,100,100,0.731707317073171,0.731707317073171,1.48780487804878,0.219512195121951,0.0487804878048781,1
46321,0,3,0,2,4,1,0,100,80,100,0.779411764705882,0.779411764705882,1.41176470588235,0.176470588235294,0.0735294117647059,1
46322,0,3,0,2,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.933333333333333,0.933333333333333,1.6,0.4,0.0666666666666667,1
46323,0,1,0,3,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.166666666666667,0.166666666666667,0.416666666666667,0.25,0.0833333333333333,1
46324,1,3,1,3,4,1,3,100,75,87.5,0.463829787234043,0.208510638297872,0.425531914893617,0.293617021276596,0.0468085106382979,2
46325,0,3,1,3,4,1,1,100,75,100,0.721991701244813,0.593360995850622,1.77178423236515,0.257261410788382,0.0497925311203319,2
46326,0,3,0,2,4,1,3,100,80,80,0.924242424242424,0.924242424242424,3.45454545454545,0.257575757575758,0.0303030303030303,1
46327,0,3,0,0,4,1,2,100,80,80,0.666666666666667,0.611111111111111,1.27777777777778,0.296296296296296,0.0740740740740741,1
46328,0,3,0,2,4,1,0,100,100,100,0.489795918367347,0.489795918367347,1.3469387755102,0.163265306122449,0.0612244897959184,1
46329,0,3,0,2,4,1,0,77.7777777777778,66.6666666666667,100,0.686046511627907,0.686046511627907,1.2093023255814,0.13953488372093,0.0581395348837209,1
46330,0,3,0,2,4,1,1,87.5,75,100,0.3,0.3,8.1,1.5,0.4,1
46331,0,3,1,3,4,1,0,100,80,100,0.251231527093596,0.0640394088669951,1.07389162561576,0.280788177339901,0.0591133004926108,2
46332,0,3,0,3,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.210526315789474,0.0789473684210526,0.460526315789474,0.210526315789474,0.0526315789473684,1
46333,0,1,0,3,0,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.7,0.5,0.5,0.6,0.1,1
46334,1,3,1,3,4,1,4,100,77.7777777777778,88.8888888888889,0.551020408163265,0,0.63265306122449,0.292517006802721,0.0680272108843537,2
46335,0,3,0,0,4,1,0,100,80,80,0.666666666666667,0.666666666666667,4.5,1.33333333333333,0.166666666666667,1
46336,0,3,0,0,4,1,0,100,90,90,0.589285714285714,0.589285714285714,1.01785714285714,0.321428571428571,0.0178571428571429,1
46337,0,3,0,2,4,1,1,100,100,100,0.569767441860465,0.558139534883721,0.953488372093023,0.162790697674419,0.0232558139534884,1
46338,0,3,0,0,4,1,2,100,100,90,1.15789473684211,1.15789473684211,2.10526315789474,0.473684210526316,0.105263157894737,1
46339,0,3,0,0,4,1,0,100,100,92.8571428571429,0.878787878787879,0.848484848484849,1.60606060606061,0.424242424242424,0.0909090909090909,1
46340,0,3,0,2,4,1,0,100,100,96,0.441176470588235,0.264705882352941,2.41176470588235,0.617647058823529,0.147058823529412,1
46341,0,3,0,2,4,1,2,100,100,100,0.707317073170732,0.682926829268293,1.34146341463415,0.268292682926829,0.024390243902439,1
46342,0,3,0,2,4,1,0,100,100,100,0.89873417721519,0.886075949367089,1.10126582278481,0.215189873417722,0.0379746835443038,1
46343,0,3,0,0,4,1,0,100,90.9090909090909,90.9090909090909,0.570247933884298,0.56198347107438,1.13223140495868,0.173553719008264,0.0330578512396694,1
46344,0,3,0,2,4,1,1,83.3333333333333,83.3333333333333,100,0.764705882352941,0.735294117647059,1.85294117647059,0.264705882352941,0.0588235294117647,1
