"inundaciones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific"
0,3,0,1,4,1,1,100,100,100,0.833333333333333,0.791666666666667,3.625,0.291666666666667,0.166666666666667
0,3,0,1,4,1,4,83.3333333333333,66.6666666666667,100,1.06666666666667,0.986666666666667,2.37333333333333,0.2,0.173333333333333
0,3,0,0,4,1,1,100,91.6666666666667,100,1.38095238095238,1.28571428571429,4.38095238095238,0.285714285714286,0.19047619047619
0,3,0,0,4,1,1,100,100,100,3.29411764705882,3.05882352941176,4.52941176470588,0.470588235294118,0.235294117647059
0,3,0,1,4,1,0,100,100,100,1.45833333333333,1.25,2.33333333333333,0.291666666666667,0.208333333333333
0,3,0,1,4,1,3,89.6551724137931,79.3103448275862,100,0.891666666666667,0.791666666666667,1.35833333333333,0.15,0.075
0,2,0,1,4,1,2,86.9565217391304,73.9130434782609,100,0.867647058823529,0.823529411764706,1.52941176470588,0.147058823529412,0.0588235294117647
0,3,0,1,4,1,1,87.0967741935484,77.4193548387097,100,0.916666666666667,0.895833333333333,1.58333333333333,0.4375,0.229166666666667
0,3,0,0,4,1,0,90.9090909090909,84.8484848484848,100,1.72222222222222,1.66666666666667,3.77777777777778,0.388888888888889,0.333333333333333
0,3,0,0,4,1,2,97.0588235294118,94.1176470588235,100,1.19512195121951,1.07317073170732,2.92682926829268,0.195121951219512,0.317073170731707
0,3,0,0,4,1,2,100,91.304347826087,100,3.31578947368421,3.31578947368421,8.10526315789474,0.421052631578947,0.473684210526316
0,3,0,0,4,1,0,96.7741935483871,96.7741935483871,96.7741935483871,2.44444444444444,2.2962962962963,4.74074074074074,0.296296296296296,0.185185185185185
0,3,0,0,4,1,1,96.2962962962963,92.5925925925926,96.2962962962963,1.9,1.9,5.4,0.6,0.7
0,3,0,0,4,1,1,100,95.4545454545455,100,0.777777777777778,0.666666666666667,2.08333333333333,0.222222222222222,0.138888888888889
0,3,0,1,4,1,1,100,92.3076923076923,100,0.735294117647059,0.647058823529412,1.85294117647059,0.264705882352941,0.0588235294117647
0,2,0,1,4,1,0,92.3076923076923,84.6153846153846,100,0.622950819672131,0.60655737704918,1.0327868852459,0.19672131147541,0.0819672131147541
0,2,0,1,4,1,1,90.9090909090909,81.8181818181818,100,1.0952380952381,1,2.14285714285714,0.380952380952381,0.142857142857143
0,2,0,1,4,1,2,86.9565217391304,73.9130434782609,91.304347826087,0.948717948717949,0.743589743589744,1.82051282051282,0.384615384615385,0.179487179487179
0,2,0,1,4,1,1,91.304347826087,82.6086956521739,100,1.13888888888889,0.888888888888889,2.11111111111111,0.277777777777778,0.111111111111111
0,3,0,1,4,1,1,92.5,87.5,100,0.655172413793103,0.586206896551724,2.17241379310345,0.896551724137931,0.241379310344828
0,3,0,0,4,1,1,100,93.6170212765958,100,1.23809523809524,1.14285714285714,2,0.523809523809524,0.285714285714286
0,3,0,0,4,1,0,100,92.3076923076923,100,2,2,26,5,2
0,3,0,0,0,1,1,97.7777777777778,88.8888888888889,97.7777777777778,2.35294117647059,2.23529411764706,4.76470588235294,0.529411764705882,0.470588235294118
0,3,0,0,0,1,2,94.4444444444444,86.1111111111111,97.2222222222222,2.28,2.28,4.08,0.36,0.4
0,3,0,1,4,1,0,89.0909090909091,85.4545454545455,92.7272727272727,1.47058823529412,1.41176470588235,4.52941176470588,0.323529411764706,0.470588235294118
0,3,0,0,4,1,0,80.9523809523809,85.7142857142857,88.0952380952381,15.8571428571429,14.5714285714286,18.7142857142857,2,1.28571428571429
0,3,0,0,4,1,2,100,93.3333333333333,100,1,0.875,2.4375,0.1875,0.166666666666667
0,3,0,1,4,1,1,100,83.3333333333333,100,1.09090909090909,1.03030303030303,2.51515151515152,0.242424242424242,0.0606060606060606
0,2,0,1,4,1,3,92.8571428571429,78.5714285714286,100,0.731958762886598,0.618556701030928,1.10309278350515,0.154639175257732,0.0412371134020619
0,3,0,1,4,1,1,90,80,90,0.706896551724138,0,1.1551724137931,0.224137931034483,0.0517241379310345
0,3,0,1,4,1,1,83.3333333333333,50,83.3333333333333,0.861111111111111,0,1.36111111111111,0.222222222222222,0.0833333333333333
1,2,0,1,4,1,0,71.4285714285714,57.1428571428571,85.7142857142857,2.20833333333333,0,3.29166666666667,0.583333333333333,0.125
1,2,0,1,4,1,3,71.4285714285714,71.4285714285714,71.4285714285714,0.645161290322581,0,1.03225806451613,0.161290322580645,0.0537634408602151
1,2,0,1,4,1,3,100,88.8888888888889,88.8888888888889,1.52597402597403,0.25974025974026,1.22727272727273,0.12987012987013,0.038961038961039
1,2,0,1,4,1,2,100,100,100,0.0277777777777778,0,1.91666666666667,0.416666666666667,0.194444444444444
0,3,0,0,4,1,0,91.4893617021277,80.8510638297872,92.5531914893617,1,0.896551724137931,3.58620689655172,0.655172413793103,0.482758620689655
0,3,0,0,4,1,0,83.6734693877551,79.5918367346939,87.7551020408163,1.77272727272727,1.68181818181818,3.04545454545455,0.363636363636364,0.5
0,3,0,0,4,1,1,81.0810810810811,78.3783783783784,86.4864864864865,2.6,2.53333333333333,4.06666666666667,0.533333333333333,0.8
