Variable,Gini_Index
Telecomunicaciones,0.2406942994399539
Residuos,0.04025157232704402
Movilidad,0.1857027474346243
Agua,0.5204633247496688
Saneamiento,0.9273479083920095
Electricidad,0.587263138968389
