"ID_MGN","inundaciones","RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Electricidad_medidoresIntel_edific","Electricidad_postes_edific","Electricidad_transform_edific","cluster"
26772,0,0,3,0,2,3,1,0,76.4705882352941,88.2352941176471,88.2352941176471,1.19642857142857,0.142857142857143,0.0357142857142857,2
26775,0,1,3,0,0,4,1,0,91.6666666666667,91.6666666666667,100,2.35,0.4,0.25,2
26776,0,1,3,0,0,4,1,0,92.8571428571429,92.8571428571429,100,2.53846153846154,0.538461538461538,0.307692307692308,2
26778,0,0,3,0,0,0,1,0,100,50,50,1.94117647058824,0.294117647058824,0,2
26782,0,1,3,0,1,4,1,0,73.3333333333333,86.6666666666667,93.3333333333333,2.1,0.25,0.15,2
26783,0,0,3,0,0,0,1,0,66.6666666666667,83.3333333333333,83.3333333333333,2.05882352941176,0.352941176470588,0.0588235294117647,2
26784,0,0,3,0,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.71428571428571,0.428571428571429,0.0714285714285714,2
26787,0,0,3,0,1,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.26415094339623,0.188679245283019,0.0754716981132075,2
26791,0,0,3,0,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.8695652173913,0.304347826086957,0,2
26792,0,0,2,0,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.95652173913043,0.304347826086957,0,2
26793,0,0,2,0,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,2.5,0.4,0,2
26794,0,0,2,0,2,4,1,0,71.7944035380472,71.8090403980719,83.2519719187894,1.58620689655172,0.275862068965517,0,2
26795,0,0,2,0,1,4,1,0,100,63.6363636363636,100,2,0.28,0,2
